MCI;Contrato
209614877;697805810
210366996;22472
210612690;150382680
210612690;992965199
210612690;993032168
210689411;704207313
211082592;143130905
212039932;992192107
302955256;53779
302956671;89726795
304045225;133947943
305429686;174411540
305429686;420905120
305730284;485400431
305981381;580400582
306032107;141897444
306286414;26840
306286414;134265279
306286414;151546108
306286414;159831428
306286414;976524257
306462483;685001148
330505818;111634033
330629026;132778187
330629026;134079844
330629026;137751625
330629026;140016130
330629026;140796106
330629026;141697885
330629026;142517415
330629026;143044472
330629026;162473751
330684912;120211777
330684912;123357015
330684912;581100450
330684912;987409626
331024995;116809249
331024995;116918806
331024995;433403594
331527956;123252606
331527956;123270688
331527956;145411011
331527956;145413217
331527956;151373008
331527956;156530739
331527956;157065567
331527956;989138323
331634381;104944394
331634718;57470512
332848588;100805882
333254979;139824389
333254979;140035768
333254979;140710588
333254979;142834706
333254979;158976247
333420406;42406
333420406;113891012
333420406;114790693
333420406;118975604
333420406;134929150
333420406;154042864
333420406;985227086
334188663;115161992
334188663;117137755
334591018;141922079
334591018;993198271
335244780;73021451
335332608;113360215
336619295;20368
336966576;78359
337140231;49191
337411243;122259850
337411243;935701417
337519634;581100573
337564170;707100470
338454660;131750848
338454881;48712
338454881;101384024
338454881;113630175
338454881;115811550
338454881;117295577
338454881;117295925
340033729;134358568
340054897;485600492
340116479;5250013
340116479;5250014
340116479;5250015
340241303;114190591
340241303;123745642
340241303;130563555
340293451;110607168
340293451;158658770
340293451;595800609
340684857;1801
340684857;135028478
340684857;135034409
340684857;155149798
401626400;2419267
401626400;104909695
401626400;907949526
401626400;955429635
410081932;979907929
410081932;991914662
410378350;430504068
411021742;681102529
411569376;697805981
411569376;697806280
411569376;697806368
411872833;114978826
412035784;124895220
412035784;124895289
412035784;137792261
412035784;997500806
412038821;52380
412038821;765301155
415899302;150329270
416595027;56577258
416595027;76088288
416595027;151998869
416595027;988137203
417584079;485600497
419193856;57445066
419718658;114794283
420777222;16118858
420777234;9923214
420777234;55927706
421133286;485600575
421366628;110601433
422712583;57425081
422948579;18192
422948579;150792441
422948579;974798333
423406992;596000376
425155999;120564777
425155999;120564849
426502852;144266262
441406961;63584977
441406961;121406335
441794989;404133
442169769;125410609
442406352;71811785
443632094;123174594
443632094;124790734
443632094;125185761
443632094;126159266
443632094;138063555
443632094;989401053
443632094;990046663
443632094;990473100
443673865;976505529
443782645;30394
443782645;72369752
443782645;914801179
444051550;16325
444051550;421505014
444051550;421505015
444465146;40738
444728924;8018
444869486;105521040
444869486;107154393
444869486;109406864
444869486;113150879
444869486;115586899
444869486;117220700
444869486;920500398
444869486;988975016
445862441;356107713
445887134;131163138
445887134;142491716
445887134;142494207
445887134;153097073
446836820;136501921
447915760;174410579
448047791;126610967
448047791;126611376
448317714;428502446
448735894;63719854
448790439;30016469
448790439;30017091
448790439;30017167
448857241;43384
448857241;158104904
448973656;109410195
448973656;142495228
448973656;144057969
449241935;306305587
449241935;306306753
449502427;119305564
449502427;119305628
449502427;119306003
449502427;138368675
449753768;826200240
449903681;174410296
450084489;123333370
450379197;55555
450379197;120798816
450379197;188005927
450379197;699806010
450379197;699806505
450444452;37627
450474555;34292
450474555;133896431
450474555;181805720
450474555;181805721
450474555;356110521
450575371;99768
450575371;135479464
450575371;151953397
450575371;151956793
450791876;154504515
451230059;585309284
451230059;585309318
451230059;585309770
451326621;27638
451326621;585307590
451326621;585308047
451330030;72211745
451759842;280407325
452299034;29714550
453217502;6517
453217502;138420626
453217502;138437253
453217502;138840668
453217502;156559158
453217502;156897564
453561817;430709119
454104213;979833290
454104213;987681425
455158280;356111287
456847092;137206153
456847092;150486412
463134934;581100460
463563160;703602691
464253850;116837978
465807102;46960
466706983;695903153
466706983;695903264
466706983;695903265
466712676;2427329
467264483;581100399
468575303;280711811
468914836;658904619
469441620;25251
469441620;174410512
470158824;28179
470158824;154630913
470158824;703602290
470158824;703602435
470440305;37563
470440305;112176564
470440305;113347644
470440305;114771503
470440305;123588471
470440305;135587996
470440305;141220454
471143022;37428
471143022;155605536
471143022;155605901
471635406;421505464
474460609;697501424
476982743;987502518
477548257;124134171
477548257;144429735
477593574;35901
477593574;158043126
477593574;475203240
477857292;34953
477857292;159256023
477959919;151606488
477959919;151606489
477959919;151606502
477959919;151606503
478007128;593700311
478337193;25721
478337193;159790678
478337193;356110955
478337193;408702286
478366178;126610664
478366178;154363002
478366178;697806261
478692186;74408
478692186;126611369
478697737;12650
478697737;697501482
478697737;697501484
478697737;697501486
478697737;697501487
478697737;697501488
478697737;697501489
478697737;697501490
479918263;407802558
479918263;407802561
479918263;407802564
479918263;407802566
480242480;159471891
480554349;157711336
480554349;432809586
480615414;764306605
480615414;764308360
480704430;12664
480704430;156587331
480704430;409304606
480985680;126610648
480985680;126610845
480985680;126610896
480985680;152981164
481820786;145733192
481820786;356707435
481820786;356707472
481994292;181704577
482508785;704205790
482702174;432808904
483203547;421505510
483578195;157001228
483578195;432809053
483578195;432809523
483628284;174410728
484968945;75958
484968945;126611014
484968945;155300201
484968945;658904644
485269850;846000461
485794290;156080591
485794290;174411667
487240198;697806572
487294877;1275
487825384;24043
487825384;313115809
487825384;313115810
489878877;36740
489878877;343508936
490480320;71211400
491801412;158952632
491801412;432810260
492190492;8137
492457661;251331162
492798549;41677
492798549;158959562
492798549;680504644
492798549;680504834
492798549;680504836
492871720;131523122
492871720;152180154
492961245;118964
492961245;430505213
492961245;430505352
493911527;126611437
493911527;126611549
493932243;84418
493932243;71211393
493932243;71211394
493932243;71211396
493973066;6574
493973066;162354124
493973066;593700308
493973066;593700309
493973066;593700329
493973066;593700332
496237710;697807116
498362624;36397
498362624;158014789
498362624;181805757
498620667;77352
498620667;155906662
499225049;151113025
499819830;126611372
499819830;161284704
500644861;472800625
501573284;110305602
504052911;485600594
504411466;137508470
505659958;581100553
505816032;13216
505816032;918001069
506020787;8628
506020787;127443942
506020787;131400858
506020787;144332452
506735792;63064198
506735792;152104234
507642137;105163
507642137;174410255
509395277;154703934
509398585;338315879
509398585;458402945
509727388;846000276
509735224;697803399
510155035;138131507
510155035;987480795
510453187;697805828
510493003;104612
510493003;113108026
510909384;697804402
511334422;979607973
511409485;30159
511409485;105055782
511409485;111550009
511409485;141926804
511409485;144812491
511409485;988895174
511410068;81101638
511451165;825801257
511655140;105534
511655140;118158252
511851341;270010263
512046900;104561529
512298524;846000486
512329741;30313306
512503089;86977538
512503089;135976899
512503089;138166662
513236226;67001
513236226;1803590
513236226;1803593
513236226;138183631
513236226;356109728
513236226;356110580
513236226;356110637
513236226;356110644
513236226;356110735
513332334;105237572
513332334;145051870
513355466;52471
513355466;114559935
513355466;129058908
513355466;153401325
513994927;92241658
513994949;174411593
514051379;119516574
514051379;119517693
514051379;129063727
514179548;825804237
514179548;825804621
514201647;110373
514201647;160989134
514216035;10499
514216035;356110362
514216035;356110363
514216035;356110762
514373148;119215807
514382142;580900163
514664205;141917041
515744314;149424510
515744314;699806610
515943990;81308238
515943990;81308750
515943990;81309016
516050291;140428459
516218195;224005511
516218195;224006145
516218195;224006707
516236665;121884279
516493480;41356
516493480;105992611
516493480;420905266
516649408;123288652
517058868;181704804
517592086;44259
517592086;119215039
517592086;125754799
517592086;684003515
517922542;81308571
518030630;2924
518030630;585309350
518143056;135221580
518143056;141436483
518143056;146948606
518143056;992064754
518144483;697806197
518262243;496904358
518534477;270010259
518584016;343509496
518586255;765300579
518676282;373
518676282;121949528
518676282;979607708
518676282;979609340
518681971;134931282
518740897;150117417
518933434;304305104
519043376;251330046
519080525;38709837
519088204;153987926
519121242;6149
519121242;697805197
519183986;135605453
519183986;475203196
519243914;306307087
519289115;703602294
519532704;17526
519532704;126611034
519532704;134007563
519532704;356110510
519532704;356110962
519580167;686302770
519934477;65432
519934477;159014118
519934477;356110899
519934477;356110971
519934477;356111240
520004638;20085
520004638;108988597
520004638;151053186
520138863;126610868
520189610;30016635
520189610;30016771
520189610;146175951
520203082;356110954
520247277;432808984
520282509;28428
520282509;125734576
520282509;148768560
520306308;6405
520306308;704205335
520354940;74510
520354940;126610353
520354940;126610419
520354940;126611298
520354940;126611365
520354940;126611599
520368923;150538572
520368923;432809585
520368923;432810431
520368923;432810458
520377633;96985
520377633;38709640
520403519;34011156
520403519;358407758
520415074;6994
520415074;151951651
520415074;697805899
520415074;697805925
520512961;151111029
520512961;151111590
520512961;153137473
520513763;279207487
520522658;8664
520522658;30017406
520522658;155376369
520522658;701600593
520524620;63784
520524620;154420308
520524620;989683826
520524620;990134721
520561222;126610901
520561222;153915866
520574017;28423
520574017;154919135
520574017;703602351
520574017;703602352
520579016;593700255
520579016;593700284
520586753;64608002
520586753;64608003
600531752;7605184
602813544;113185796
603087281;182007287
603087281;991668330
604640917;55927063
604785234;853300337
604964415;699701310
605144252;105893653
605288382;134008461
605631631;148119839
605631631;579301195
606934984;108421
606934984;107362189
607297114;91414184
607297114;935132778
607297114;947543515
607297114;969739436
607297114;985254996
703215935;440000762
704235130;485900612
704339692;69304303
800059234;109676811
800059234;948025548
800059234;972075808
824156606;69685176
824193857;120062067
824828384;117004153
824841194;110853
824841194;136651731
824841194;140848848
824841194;140911153
824841194;140911993
824948745;159326120
824984071;96949
824984071;140156813
824984071;140275471
824984071;150438813
825073592;131564878
825242498;116755722
825242498;121245991
825242498;123009416
825242498;130109543
825242498;825600908
825263822;580900327
825263822;914180070
825263822;917951499
825263822;942649349
825474872;2073
825474872;129590462
825474872;963680596
825524328;402256
825524328;114345339
825524328;116441164
825524328;116481637
825524328;986055360
825533187;438500641
825574172;992113596
825574172;997501025
825835357;136768124
825835357;139059798
825835357;141884967
826094033;56936361
826106303;112135766
826248359;139303903
826331712;40474
826331712;280004159
826671939;56771044
826680900;106294
826680900;811500635
826698226;56935571
826698226;114829552
826785215;132035924
826785215;139980681
827256941;55803576
827272613;56041536
827272613;107230530
827434368;37969
827434368;116275041
827434368;117373274
827434368;958941047
827434368;986416440
828219209;484900514
828345366;109770674
828396655;93323288
828396655;141844915
828668254;56800691
828668254;130853334
828668254;132718418
828687375;950039999
828687375;965338737
828734332;825601216
828837685;104976902
828896764;92875518
828911173;130995584
828998412;56935568
828998412;108481870
828998412;111272752
828998412;117943179
828998412;121886564
829011627;99945782
829013472;87266961
829025830;4560
829025830;825601365
829500607;605
829500607;87697287
829500607;117384266
829500607;121253669
829500607;153860692
829500607;948412941
830288662;115742335
830288662;119101594
830288662;121881129
830288662;121883400
830288662;125310999
830288662;979850417
830362103;89202520
830362103;118055806
830362103;121139394
830362103;123215877
830362103;148014706
830362103;161414635
832307493;40211360
836834945;76563
836834945;30014831
837130027;676103668
838198561;110297583
838198561;111832721
838198561;112596077
838198561;112608637
838198561;114356715
838198561;115010955
838198561;116914906
838198561;117577643
838198561;119183192
838198561;120093574
838198561;121552043
838198561;121783295
838198561;126793353
838198561;127628826
838198561;128864848
838198561;158366785
838198561;956579224
838198561;983481550
841195532;126406261
843441048;120873393
843441048;156525310
843441048;162528155
843638245;155962501
843638245;181805724
843638245;181805725
843947097;243604808
843947097;243604984
843947097;243605852
844688787;430505687
845048432;146986934
845294031;69171
845294031;157741660
845294031;356110731
845294031;356110885
845798680;132155001
845798680;158876741
845798680;270010619
845798680;270010632
845798680;270010675
845798680;270010704
845798680;270010771
845798680;270010901
845967295;135384785
845967295;429704594
846242451;181507527
846242451;703602389
846245499;161777436
846245499;174410305
846245499;174411488
846255278;585307684
846255278;585307685
846436320;72211746
846501429;270010262
846597278;26601
846597278;150576699
846597278;302711364
846597278;302711386
846784602;63593
846784602;72211950
846784602;72211969
846784602;154592193
847459324;154621822
847459324;432809725
847459324;432810407
847521889;18701
847521889;155391005
847521889;699702036
847521889;699702053
847526944;174410849
847526944;174410853
847544931;688402880
847562513;2556
847562513;585307808
847632105;46564
847632105;156781902
847632105;279207373
847632105;279207375
847638250;421505567
847659151;156896266
847659151;356707554
847659151;356707585
847659151;356707638
847659151;356707661
847676964;157376019
847676964;356111065
847676964;356111066
847676964;356111165
847676964;356111168
847822681;28483
847822681;157444291
847822681;680404097
847822681;680404173
847823463;306306526
847846337;36146
847846337;341706885
847846337;341706905
847846337;341706906
847846337;341706907
847849095;126611381
847849095;126611382
847871277;36225
847871277;341706957
847871277;341706963
847871277;341706964
847871277;341706965
847872814;432809676
847873639;49074
847873639;356707547
847873639;356707586
847873639;356707587
847873639;593700277
847873639;593700278
847884057;29715500
848191512;36228
848191512;341706959
848191512;341706970
848191512;341706971
848196585;76557
848196585;126611094
848351623;126611053
848351623;158362484
848351623;158927902
848351623;421505226
848351623;421505227
848601658;162264907
848755428;38384
848755428;160203515
848755428;188006222
848755428;188006223
849024113;161046602
849024113;696601432
849024113;696601439
849085196;289708300
849108395;451622
849108395;161519587
849108395;313116724
849108395;313116725
849108395;313116729
849872973;56424
849872973;16714444
849872973;162583407
849873048;56426
849873048;16714499
849873048;162583555
850193064;314613831
850193064;314613963
851822418;1256
851822418;819308307
852351351;163726103
852351351;825805572
852351351;825805573
901367866;10798
901367866;123184076
902045625;581100580
903744835;968200046
903744886;148241302
903745038;95185975
903745744;126608781
903753762;920400452
903754627;94356881
903755312;114280741
903755312;163052742
903759862;57077895
903777862;72474529
903777862;72485456
903791884;48767217
903797545;2711
903797545;67212545
903797545;67212574
903797545;106703261
903797545;124880635
903807009;92010039
903807581;57614105
903807581;112291644
903807581;928857168
903807581;937072127
903807581;940604662
903807581;968490169
903808004;48887676
903808720;55927601
903808907;129770967
903827257;120355186
903827890;430504863
903829043;111036581
903829045;825600391
903829205;38212024
903829354;57475803
903829354;57490869
903830460;112141172
903831783;73536456
903832206;158548025
903832513;103111672
903832513;105655868
903832513;138350385
903832638;156253090
903832898;581100565
903832898;581100592
903833097;965058157
903833125;153219410
903833295;485600529
903833301;57476202
903833478;23958786
903833478;27547982
903833478;104768001
903833545;485600541
903833545;976716144
903834001;119076502
903834107;12735484
903834388;118710270
903834388;118710507
903834388;120535585
903834388;122143605
903834388;130585377
903834828;125102937
903834828;953509500
903834828;953811420
903834828;954102623
903834881;91109180
903834918;2317
903834918;6775544
903834918;126873540
903835027;111834519
903835046;26912547
903845496;5327
903845496;159227893
903845496;741100348
903879209;149850751
903890809;84913138
904040855;808601394
904258729;60809897
904403871;16213154
904403871;127693886
904403871;138675511
904446529;99483752
904628857;137229805
904628857;148787435
905590708;151605052
905662946;346
905662946;849200336
905662946;849200410
905662946;985691405
905684843;977031234
905714362;111687666
905714362;112682118
905714362;114128901
905765176;100463131
905765176;102777904
905765176;107249527
905765176;113973398
905765176;116324073
905765176;963301824
905808017;136892983
906336779;121391499
906336779;136643880
906484628;129361407
906921708;432501840
907568104;1530741
907602068;14053
907602068;109857608
907602068;151217646
907926710;485600508
907931817;6056
907931817;115526034
908152838;114872573
908152838;118632358
908445502;132451153
908684202;926868985
908897443;6125
908897443;126043010
908897443;133069210
909127321;111702187
909189341;21144635
909279343;432810728
909495220;154502618
910961160;57533124
911234235;707300341
911241403;38547558
911306600;107784853
911306600;137210993
911540747;597700469
912617669;422701683
912695154;112961461
912695154;577300509
912695154;975198173
912695154;975260998
912695154;975301798
912695154;975889265
912695154;988637654
913030286;105997658
913030286;107857774
913030286;953294127
913030286;975804559
913030286;975915461
913161654;57509880
913161654;57525099
913557670;77658
913565966;3241657
913565966;111573881
913565966;113581932
913565966;966411452
913649975;94391607
914205742;66812
914425677;703602624
914603656;825600815
914923077;57077348
914938567;121962220
914941954;134714259
915031695;56665240
916207874;126610576
916811554;850700286
916885006;40842
916885006;134904128
916885006;137001525
916885006;149876741
918058087;112361640
919429212;825600959
919429212;976827451
919561240;34000
919561240;117588530
919561240;118157902
919561240;138451875
919640803;104772829
920086561;120580691
920742541;141909531
921001426;119514305
921571759;128917057
921571759;129974070
921571759;707500338
921679236;158421612
921891841;138672405
922773089;81667732
922783357;18717
922783357;109429102
923039607;9382
923039607;136989762
923039607;961657632
925164901;109876893
925622228;920400530
925827225;87532632
925827225;703602596
925889475;143142302
926420605;456
926420605;117154301
926420605;155398312
927255347;5329
927255347;105029301
927255347;105231083
927255347;120644816
927255347;958919376
927255347;962179219
927255347;963097201
927255347;963242018
927468544;57096967
927809279;23515
927809893;57482723
927910029;134809861
928359867;699806946
928616626;841300455
929961934;103659070
930075680;22925
930075680;302604253
930075680;302604278
930544034;111370877
930544034;131936934
930544034;137322704
930633486;189603528
930678503;62630666
930950845;2440
930950845;102747082
930950845;114398911
930950845;115420087
930950845;121256996
930950845;123992321
930950845;967825870
930950845;972080366
931028465;134809157
931028465;990820589
931231901;163189007
931348004;132185113
931348004;919900733
931913514;188005467
932596429;143246948
933804785;57382274
933972187;11130
933972187;160682066
933972187;160682208
933972187;162420339
933972187;697501470
933972187;700301315
933972187;700301316
934020745;108843349
934020745;112586734
934020745;458403267
934378301;32369
934378301;139644610
934378301;146272849
934378301;151542703
934378301;154705444
934378301;971559819
936619054;10527
936619054;151898904
936619054;154842148
936619054;985627823
936756136;155674059
936952042;918400596
937272460;96464599
937272460;143974999
